squareMeters,numberOfRooms,hasYard,hasPool,cityCode,cityPartRange,numPrevOwners,made,hasStormProtector,hasStorageRoom,hasGuestRoom,price
7239,61,1,0,26435,4,7,1994,0,0,4,733776.4
34919,20,1,1,60113,5,1,1997,0,0,2,3499532.7
25614,29,0,0,52970,4,1,1994,0,1,9,2563970.4
51434,64,0,0,79754,10,2,2012,1,0,7,5146226.2
78960,55,0,1,23408,8,4,2015,1,1,0,7900996.5
70751,64,1,1,92268,1,9,2006,0,1,7,7084110.6
81870,60,0,1,58048,3,8,2020,0,1,3,8198185.0
91559,36,0,1,82521,6,2,2007,1,1,8,9161130.7
72098,9,0,1,91168,2,3,2014,0,1,9,7216904.4
23177,19,0,0,69373,4,1,2003,0,1,6,2318776.3
39517,92,0,0,51212,4,6,2019,1,1,9,3953491.9
55232,23,0,0,849,8,3,1991,0,0,6,5524015.1
53735,49,0,1,2423,4,7,2006,0,1,8,5384554.6
67753,72,1,1,31721,3,9,1995,1,0,6,6789580.5
1450,59,0,0,2317,10,9,2018,1,1,10,146181.8
82141,93,1,1,74213,3,7,2019,1,1,4,8225970.9
17868,73,1,0,48674,4,9,2013,0,1,2,1792308.3
71397,71,0,0,68199,3,10,1995,1,0,2,7145471.5
32623,35,0,1,80204,10,6,2003,0,0,8,3267852.3
23841,71,1,1,32106,3,7,2010,1,1,1,2390804.0
16495,94,0,0,90448,3,10,1991,1,1,7,1650711.1
39109,24,1,0,74477,4,3,2002,0,0,9,3917652.2
65151,81,1,1,66191,7,9,1991,0,0,4,6522781.1
61484,91,1,0,87015,8,8,2013,0,0,3,6154833.3
57160,15,1,1,40786,8,8,2002,0,1,2,5724102.2
13346,57,0,0,30010,6,8,2021,1,0,8,1336414.1
27351,77,0,0,98465,4,1,1997,1,1,0,2738851.7
18466,50,0,1,89670,5,2,2020,0,0,5,1849227.0
45441,29,1,0,21239,3,5,2004,1,0,6,4552319.4
55933,15,0,0,5800,9,8,2001,1,1,6,5599976.1
81936,68,0,0,6143,3,1,2011,0,0,0,8198107.1
18237,70,1,0,25093,9,6,2011,0,1,9,1833338.1
35631,54,1,0,77355,10,6,2018,1,1,10,3568002.8
99683,12,1,0,18300,5,8,2002,1,1,6,9977000.2
47664,44,0,0,98008,6,3,2010,1,0,6,4770073.0
62887,45,0,1,91125,4,3,1993,0,0,4,6293710.3
18470,20,1,1,9406,3,1,2000,0,1,6,1852115.0
36031,63,1,0,74698,9,8,2001,1,0,4,3612495.1
22776,84,0,0,82401,9,9,1993,1,1,7,2278599.3
14830,81,1,0,17641,1,10,1992,0,0,9,1487488.2
43944,40,1,0,5581,10,5,2012,1,1,6,4403326.2
73062,34,1,1,44770,4,8,2016,0,1,0,7313447.6
84284,76,0,0,55723,5,1,1998,0,0,6,8432554.8
9619,66,1,0,82543,9,5,1991,1,0,10,969806.1
11410,96,0,1,85454,8,3,2019,1,1,1,1150663.9
29855,63,0,0,78080,5,5,2000,1,0,6,2987645.0
46716,94,0,0,25303,8,5,2008,1,0,3,4674140.8
77046,69,1,0,43517,4,2,1992,1,0,3,7714235.2
58855,1,0,0,20127,3,7,2004,1,0,3,5892518.4
69165,66,1,0,51371,4,4,2009,1,1,9,6926290.9
57915,25,0,1,87517,10,4,2007,1,0,5,5800324.7
66279,47,1,0,21934,3,2,2003,1,0,10,6631365.3
16068,21,1,0,21716,8,8,1991,1,0,2,1611707.1
74325,50,1,1,91978,8,10,1994,1,0,5,7443433.4
35742,46,1,1,84138,7,1,2014,1,0,7,3581003.4
9026,51,1,0,85842,1,5,2000,0,0,10,904797.0
16899,19,0,1,47328,2,4,2020,1,1,7,1693690.0
99854,82,0,0,82741,3,8,2009,1,0,7,9989598.9
33743,56,1,1,21945,10,8,2006,1,0,6,3382812.6
72798,22,1,1,61212,9,3,2007,0,0,7,7290431.7
86492,21,0,0,42450,3,7,1992,0,0,0,8654049.2
38937,35,0,1,2867,2,6,2013,1,0,1,3901433.3
24762,22,0,1,50367,10,10,1999,1,1,1,2480900.9
91047,45,0,0,41065,8,2,1999,0,1,1,9109264.9
55527,64,0,1,61931,4,2,2005,1,1,9,5557814.5
70606,17,1,1,38,7,3,2017,0,0,5,7070662.7
67327,47,0,0,26709,9,3,1990,1,0,10,6741466.0
6125,90,0,1,95979,1,2,2012,1,0,10,615143.2
71833,37,0,1,58147,2,5,2013,0,1,6,7185318.3
20811,98,1,1,91543,1,4,1995,1,0,3,2090690.5
7643,98,0,0,5989,2,3,1999,0,1,7,765618.9
16669,95,1,1,15949,4,3,2007,1,1,1,1676719.7
84006,73,1,1,54296,4,7,2000,0,0,4,8409827.0
34059,49,0,0,63489,4,8,1993,1,0,2,3412619.3
36131,95,0,0,72385,8,8,1991,0,0,8,3620939.1
8201,18,1,1,38920,7,2,2007,0,1,6,826967.7
38398,84,0,0,44513,6,8,1994,0,0,8,3842545.4
38833,10,0,0,28075,4,3,2014,1,1,8,3884619.4
41488,22,0,0,2019,9,1,2013,1,0,3,4151539.3
5205,2,0,0,71289,7,3,2005,0,0,0,521650.5
45066,28,0,0,85825,9,5,2013,0,1,0,4508367.3
63875,53,1,1,54408,7,3,1999,0,0,6,6394774.9
25052,88,0,0,1083,8,6,2020,1,0,10,2515214.0
51457,64,0,1,68294,3,10,2016,0,1,4,5150600.6
84396,64,0,0,88421,6,7,2015,1,1,2,8449333.5
64920,98,0,1,1173,8,8,2016,0,1,6,6501809.6
9166,4,1,0,26610,4,1,2015,1,1,8,922847.5
85558,48,1,0,55318,2,9,2017,1,1,0,8568781.7
87267,75,1,0,57714,6,10,2019,0,1,4,8731940.9
96091,100,0,1,99874,10,3,1999,0,0,6,9615021.9
38003,98,1,0,49191,8,10,2008,0,0,2,3803545.8
83120,97,0,1,93953,6,6,2015,1,0,1,8318749.5
20468,100,1,0,63924,6,4,2003,1,0,0,2049846.3
75152,91,1,0,61836,3,3,2018,0,0,2,7518709.8
32688,9,1,1,86166,6,5,2013,1,1,7,3274057.3
45868,72,1,1,33082,5,7,1994,1,0,10,4600708.4
73900,69,0,1,57473,4,3,2018,0,1,4,7394635.8
16000,41,1,1,86898,9,4,2007,1,0,6,1606948.7
1423,59,0,1,21687,8,4,1993,1,0,8,149234.3
29951,37,1,1,56604,6,8,1995,1,0,0,3002371.5
40231,84,0,1,64474,4,5,1999,0,1,0,4030226.9
59517,38,1,0,93928,8,8,2003,0,1,6,5958698.3
98969,26,1,0,36941,10,8,2003,0,1,5,9902968.3
99177,49,0,0,5100,6,10,2021,1,1,3,9919217.1
89157,46,0,0,34482,3,6,2009,1,1,4,8920282.9
67429,60,0,1,89820,8,7,1991,0,1,1,6749654.1
38431,57,1,0,69199,9,3,2020,0,0,8,3848467.0
72495,76,1,1,8723,8,10,1994,0,1,0,7259025.4
85362,77,1,0,40604,6,5,1997,0,1,4,8541211.7
28597,93,0,0,16237,3,9,1990,0,0,8,2863386.0
13687,36,1,1,2400,3,5,2001,1,0,5,1376329.1
50479,3,0,1,39939,5,9,2020,0,0,5,5057657.0
98121,38,0,1,20289,7,4,1995,1,0,2,9817494.5
57736,16,0,0,83855,9,6,1999,1,0,2,5775940.9
30356,40,0,0,13378,7,1,1992,0,0,8,3039209.2
21141,38,0,1,65184,10,3,1998,1,1,10,2126023.8
98122,34,0,0,80176,7,4,2009,1,1,5,9813433.9
34746,12,1,0,57668,10,5,2000,0,0,4,3478332.0
17297,43,1,1,99289,7,5,2012,1,1,2,1738971.2
80324,47,1,1,20394,3,2,1993,1,0,9,8039714.3
15815,13,1,1,2179,7,1,2019,0,0,4,1585031.9
1066,5,1,1,65388,4,9,2017,1,1,5,114605.7
79275,95,0,1,13000,5,9,1995,1,1,3,7930383.5
20658,7,1,1,80216,4,10,1997,0,1,10,2076936.7
8687,88,0,1,2052,3,6,1993,1,1,3,877525.3
69638,42,1,1,89878,1,2,1991,0,1,6,6977654.1
94036,18,0,0,79418,10,9,2001,1,0,10,9406163.1
60889,72,0,0,55928,6,8,2018,0,0,7,6091341.8
11680,21,0,0,5324,10,1,1992,0,1,6,1169431.2
11458,96,1,1,95286,9,5,2010,0,0,6,1154040.0
20397,67,0,0,29406,8,7,1997,0,1,3,2042985.7
83206,34,1,0,27565,9,9,1999,0,0,9,8326302.9
8951,11,1,0,32412,1,10,1997,0,0,1,904889.7
22854,41,1,0,74420,4,7,2001,1,1,0,2292467.1
46042,52,0,0,45861,9,8,2015,0,0,5,4605791.5
93506,20,1,0,7068,8,9,2017,0,1,8,9356982.7
58748,76,0,0,20761,2,5,2010,1,0,2,5875981.0
715,71,0,0,33439,7,3,2010,1,1,8,74252.0
55327,22,1,0,76622,1,2,1993,1,1,8,5540589.3
63631,84,1,0,31269,6,10,2000,0,1,4,6369055.0
77915,99,0,0,63942,5,10,2018,1,0,4,7793915.8
91804,5,0,0,87339,3,9,1999,1,1,8,9182083.9
57295,95,0,0,32081,2,2,1994,1,1,7,5731510.4
61057,65,1,0,17051,9,8,1998,0,1,6,6114671.8
91626,83,1,0,59173,4,5,1991,1,1,8,9169068.1
29356,96,1,1,4864,4,9,1990,1,1,3,2948071.0
27134,62,1,0,1498,7,7,2003,0,1,3,2715604.3
1682,65,1,0,7602,2,3,2017,1,1,4,174918.7
98868,41,0,1,85917,7,3,2021,1,1,3,9892300.1
23898,62,1,0,73176,9,9,1996,1,0,1,2399286.6
83110,43,1,0,55046,7,10,2001,0,1,7,8321631.1
71154,67,0,1,8762,2,6,2021,1,0,8,7122699.1
90841,48,1,0,25300,6,5,2003,0,0,9,9086177.3
68416,87,1,0,60979,8,7,2010,0,0,6,6846709.0
47585,95,0,0,81532,5,1,1993,1,0,0,4759724.3
28452,79,1,0,79918,4,10,2006,1,1,2,2850377.6
15630,78,1,0,98750,7,3,1996,0,1,0,1565985.6
65900,36,1,1,27819,1,5,2017,1,0,1,6605894.7
21600,94,1,0,85215,10,8,2000,1,1,3,2166421.0
74704,31,0,0,93675,1,9,1992,0,0,9,7472587.2
87291,78,1,1,5950,3,3,2017,1,1,2,8739254.7
96687,65,0,1,70871,4,4,2012,1,1,6,9673884.2
60567,65,1,1,39919,7,6,2019,0,1,0,6071330.9
4872,41,0,0,79028,9,6,1990,0,0,6,489455.0
9157,48,1,0,6500,4,10,2009,0,0,8,922102.9
65217,26,1,1,96357,6,8,2019,1,0,10,6531999.9
87346,56,1,1,34773,9,9,1990,1,1,4,8743241.0
47701,26,1,0,73572,3,5,2001,0,0,3,4773352.1
14766,50,0,1,36865,8,1,2001,0,0,4,1488265.1
94841,19,1,1,11526,3,5,1998,1,1,6,9498026.8
59318,92,0,0,68354,9,8,2002,0,1,5,5939275.2
1796,28,0,0,66676,1,1,1997,1,0,4,180265.7
96526,36,1,1,61875,5,2,2020,1,1,0,9661068.0
62876,36,0,0,90089,4,8,2006,0,1,4,6288117.6
59558,43,1,1,79779,4,3,2012,0,1,5,5967916.2
97008,89,0,1,11466,9,5,2014,1,1,0,9703551.4
66746,6,1,0,22139,7,3,1997,0,1,3,6678869.7
25776,36,0,0,4777,5,9,2002,0,1,10,2582235.2
96195,97,0,1,91809,7,4,2018,1,0,3,9626665.8
4805,47,1,1,48026,5,5,1995,1,1,0,486824.5
23045,21,1,0,72570,5,5,1990,1,0,0,2312202.0
95441,70,0,1,3574,6,10,2017,1,1,3,9554998.7
28381,34,1,0,44973,6,2,2009,0,1,2,2847241.9
15731,34,1,1,93825,5,2,2003,1,0,5,1582940.3
18966,58,1,0,4414,10,4,2019,1,0,0,1902151.9
24393,46,1,1,18507,4,8,2019,0,1,2,2449464.9
53339,67,0,0,6144,4,1,2013,0,0,3,5335546.3
44053,17,1,0,70068,9,3,2004,0,0,3,4413295.4
70898,98,0,0,51635,6,1,1994,0,1,3,7091863.4
84483,41,1,0,28464,10,3,2019,0,1,6,8452134.9
35716,24,1,0,77207,4,2,2013,1,0,10,3574932.3
64693,64,0,0,90290,10,9,2013,0,0,7,6471378.3
32593,40,1,0,89328,2,9,2006,0,1,2,3265750.6
1607,63,1,1,32832,10,8,2020,0,0,7,173112.0
39484,74,0,1,6688,6,4,1991,0,1,9,3954971.1
32458,28,1,1,47125,1,3,2015,0,1,7,3253846.5
72243,64,0,1,34837,2,1,2004,1,1,3,7229477.4
20624,44,1,0,50284,10,2,1996,0,0,4,2070369.6
7443,38,1,0,4785,8,8,2005,0,0,1,748338.5
78382,41,0,0,58781,7,1,2020,1,1,6,7840062.0
70614,15,1,1,61317,10,5,2010,1,0,2,7075926.0
32235,59,1,0,76786,2,6,2016,0,0,10,3225143.6
2523,12,1,1,75753,3,10,2015,1,1,1,260710.5
87864,55,0,0,48421,8,4,2019,1,0,9,8790481.9
18316,97,0,0,68804,10,5,1991,0,1,9,1832673.1
94471,30,1,1,55210,6,1,2011,1,0,3,9454072.1
60704,96,1,1,18856,1,10,2004,0,1,2,6080655.4
54020,4,1,0,58230,1,3,2013,0,1,4,5406334.3
59612,37,1,0,69063,10,7,2017,1,1,2,5967739.7
56467,63,0,0,28576,3,2,1990,0,0,0,5649094.0
65625,55,0,1,89469,2,10,2015,1,1,10,6567597.5
41570,76,0,1,21758,10,4,2014,1,1,10,4167932.4
44862,99,0,1,58122,7,5,1992,0,0,3,4493882.2
47212,37,1,1,4826,7,4,2001,0,0,9,4734236.1
2840,17,1,0,94918,4,4,2004,0,1,10,288797.4
40465,85,0,0,6023,4,9,2004,0,1,0,4052600.4
17191,80,1,1,49538,2,5,1995,0,1,9,1728829.5
56480,85,1,0,21192,8,3,2016,0,0,1,5653048.6
70503,78,0,0,72210,2,6,2021,0,0,4,7051701.1
4885,100,0,0,79559,7,8,1993,0,0,6,493693.3
58263,65,1,1,39046,9,10,2006,1,1,3,5840294.6
47647,52,0,1,24285,10,2,2002,1,1,10,4768169.2
57916,51,0,0,8801,8,1,1998,1,1,1,5792783.8
6396,71,0,0,28917,6,6,2005,0,0,9,643620.5
41972,18,0,1,40098,7,7,1995,0,0,0,4206464.5
94311,11,1,0,89062,8,1,2007,1,0,7,9439790.7
10714,41,0,1,23803,5,6,1996,1,1,6,1075982.6
11259,26,0,1,34780,10,4,2010,0,1,7,1134964.0
3534,16,1,1,39998,4,1,2003,1,0,0,359850.3
52680,10,0,1,10177,6,4,1991,1,0,0,5274696.1
62711,60,0,0,42211,8,10,2007,1,0,6,6272944.7
19268,12,1,0,38471,3,5,2010,0,1,3,1938014.0
36119,39,1,0,16503,7,4,2019,1,1,3,3620813.9
28394,53,0,0,81916,8,8,2003,1,0,2,2840816.3
20392,33,1,0,53104,10,5,2007,1,1,2,2046763.7
7259,25,1,1,860,1,4,2014,0,0,5,735079.4
28183,81,0,0,44087,5,2,1993,1,1,10,2821593.3
92188,14,0,1,5286,10,2,1996,1,0,0,9227140.6
29815,28,0,0,46462,9,7,1995,1,0,0,2989048.5
50219,96,1,0,23667,9,6,2003,1,1,0,5025975.3
1722,56,0,1,27948,8,8,2002,0,1,2,182838.2
70399,14,0,1,82950,6,5,2013,1,0,4,7048784.3
28790,52,1,0,13856,7,6,2021,1,0,4,2883447.1
92962,7,1,1,32437,5,1,2000,0,0,3,9304587.0
34245,2,1,0,50891,4,4,2010,1,1,5,3430728.0
54677,64,1,1,77132,2,10,1996,0,1,2,5477618.6
74227,84,1,0,98736,7,7,2000,0,0,5,7427853.0
94939,46,1,1,55155,9,10,2009,0,1,7,9503765.9
48884,58,1,0,15276,1,7,2010,0,0,9,4895277.0
10638,39,0,0,64229,5,4,2016,1,1,10,1066200.6
90315,61,1,1,21653,7,7,1994,1,1,7,9044477.4
17633,28,0,0,83228,6,2,2013,0,1,2,1767487.3
63242,45,0,1,63066,4,10,2017,1,1,1,6327623.7
79344,46,1,1,19012,2,3,1991,0,1,7,7945562.1
72093,48,0,1,83520,8,1,2005,0,0,9,7223902.5
13378,59,1,0,2735,1,1,2001,1,0,7,1342476.1
47019,35,0,1,60947,8,4,2020,0,1,6,4706162.0
34666,75,1,1,28826,5,2,2002,1,1,6,3477313.2
93509,28,1,1,48468,6,2,1992,1,1,6,9361261.2
13583,42,1,0,42009,7,2,2015,1,0,10,1364589.5
19649,11,0,1,87255,4,4,1999,0,1,2,1970018.9
141,16,0,1,42248,5,4,1997,0,0,4,22670.7
22821,64,1,1,66304,9,8,1993,1,1,2,2289134.3
533,76,1,1,94923,6,8,2021,1,0,9,65465.1
67020,71,1,1,64361,4,7,2015,0,0,1,6711051.5
49094,30,1,0,90656,9,2,2021,1,1,8,4916616.1
25269,88,0,0,86720,6,7,2019,1,1,1,2530193.9
71989,41,0,0,50519,2,3,2003,0,1,4,7204744.3
73180,1,1,1,38386,9,7,2011,0,1,10,7325717.1
18926,58,1,1,32618,6,4,1998,0,1,8,1908217.8
6492,76,0,0,81044,10,3,2018,0,0,9,652565.8
98045,4,1,1,78526,4,5,2002,0,1,0,9814193.2
51589,83,0,1,55528,6,10,1998,0,1,5,5167451.8
24390,75,1,0,70527,10,9,1992,0,0,1,2446317.2
75890,10,0,1,33129,9,5,2001,1,0,8,7597786.1
29220,9,0,1,33789,7,6,1994,0,0,0,2929116.4
72433,57,1,1,69864,7,7,2001,0,1,0,7250644.1
57467,98,0,0,24393,7,3,1993,0,1,2,5749361.3
81482,76,1,0,56103,1,7,1997,0,0,6,8153070.7
61346,69,0,1,63238,7,10,2009,1,1,10,6141452.9
80915,23,1,1,46095,9,6,1992,1,0,0,8104297.2
65479,74,0,1,99953,10,5,2000,1,0,10,6552454.0
48302,22,1,0,82376,2,9,2017,0,1,1,4833604.7
76690,21,1,1,91395,1,1,1990,1,1,8,7682267.0
14447,39,0,1,93847,6,8,2002,0,0,6,1448447.2
24213,31,1,1,51767,1,7,1994,0,0,5,2431969.4
1843,30,1,1,3,4,7,2007,1,0,5,189919.7
78183,65,1,1,3648,7,9,2007,1,1,4,7829898.7
99323,35,0,1,69665,6,7,2018,0,1,3,9939399.8
67491,21,0,0,5308,6,7,2007,0,1,0,6750826.7
2588,82,1,0,25395,1,5,2016,0,0,8,267798.6
76635,6,1,1,73981,2,5,1999,0,1,1,7669791.9
45070,100,0,0,21335,9,9,1997,0,1,0,4510977.7
62381,58,1,0,22862,1,4,2003,0,1,6,6243323.3
98543,2,1,0,88249,1,3,1992,1,0,7,9860222.2
13972,39,0,0,91674,2,2,2009,0,1,2,1397748.9
71567,70,0,1,64245,10,8,1992,0,0,4,7166917.2
36804,99,0,0,76338,2,8,1996,0,1,6,3681839.6
21297,71,1,1,75154,2,3,1995,1,0,4,2136801.5
9950,1,1,0,79019,5,10,2012,1,0,4,1000736.2
3661,50,1,1,1138,3,8,2007,0,0,7,372556.7
88102,51,1,0,42082,8,3,2016,0,1,9,8821018.6
72596,91,0,0,32957,7,6,2015,0,1,0,7262781.5
70763,4,1,0,18220,10,4,2015,0,0,9,7082373.5
12002,58,0,0,2764,8,8,1995,0,1,1,1203664.5
26146,34,0,1,431,7,9,2011,1,1,7,2627462.1
13716,62,0,1,61202,6,8,1990,1,0,10,1382883.0
23281,32,1,1,87667,9,10,2020,1,1,3,2339782.0
3824,45,1,1,11597,5,6,2019,1,0,0,386574.9
56086,3,1,0,52007,6,2,2021,1,0,1,5615576.1
19014,67,1,0,82387,8,2,1999,0,0,6,1912984.9
80808,59,1,0,18733,7,5,2004,0,0,5,8085990.4
83602,5,0,1,48528,9,7,1991,0,1,5,8365162.1
99767,27,0,1,46530,2,8,2018,0,1,2,9985836.8
60675,32,1,0,97066,9,7,2002,0,0,6,6075733.2
20210,2,1,0,77066,1,8,2007,0,0,4,2029228.7
28694,82,0,0,44298,2,3,1991,1,1,3,2870499.1
45521,53,0,0,26627,9,9,1991,1,0,7,4554205.1
55727,46,0,0,94339,5,5,2016,0,0,2,5574845.6
17307,20,1,0,81794,5,8,2006,1,0,2,1740869.6
86474,98,0,0,50147,1,6,2004,0,0,7,8649993.4
6012,53,1,0,96011,8,7,2013,0,0,4,607323.3
6617,51,0,0,26766,10,4,2010,1,0,10,663333.0
34061,43,0,0,26346,3,1,1993,0,1,9,3407529.3
12881,12,1,0,85503,10,5,2006,1,1,0,1293712.6
48458,82,1,0,98206,3,6,2002,1,0,6,4851198.2
89618,49,1,0,30029,1,6,2006,1,1,0,8969519.6
10369,30,1,0,51049,8,10,1999,0,0,10,1044857.9
21865,24,0,1,50297,10,5,1993,0,1,3,2191960.3
30817,48,0,0,26230,9,3,2013,0,1,3,3086005.3
8808,85,1,0,93756,5,10,1998,1,0,5,888730.8
16006,69,1,1,6423,7,10,1990,0,1,3,1610901.0
70517,37,0,0,67679,5,6,2002,1,1,5,7052408.2
55592,68,0,1,80811,7,6,2021,0,1,0,5564877.1
10978,17,0,1,25000,2,9,2015,1,1,6,1103882.5
94388,7,1,0,41690,8,8,1996,0,0,8,9446167.6
18041,90,1,0,90750,6,8,2006,0,1,3,1817658.6
18220,91,0,1,50508,8,4,2013,0,1,2,1833031.3
39342,7,1,1,88712,5,7,1994,1,1,2,3946165.4
66570,59,0,0,85412,7,10,2008,1,1,6,6657976.8
34592,100,0,1,63748,1,7,1994,0,1,5,3465076.4
38700,25,1,1,101,4,7,1996,1,1,8,3880396.6
32060,25,0,1,43201,8,9,2017,1,0,8,3211741.7
8305,86,0,0,36778,9,9,2001,1,0,4,838488.1
40080,50,0,0,11062,8,8,2018,0,0,0,4011225.8
89335,66,1,1,25219,7,2,2004,1,0,8,8938823.4
78546,92,0,1,52906,10,6,1991,1,1,4,7864949.1
50066,63,0,1,81340,8,5,1998,1,0,1,5015729.8
37008,61,1,1,13250,6,3,2013,0,0,7,3708694.3
32876,98,1,1,48832,7,9,2008,1,0,8,3299047.8
98266,14,1,1,27552,8,10,1990,1,0,9,9838529.0
53665,66,1,1,16527,10,3,2002,0,1,8,5379979.2
33469,98,1,1,29874,7,7,2016,0,0,8,3362757.6
42578,49,1,1,3339,7,8,2013,0,1,6,4264812.3
64329,25,1,0,54901,4,5,2019,1,1,5,6436473.9
29512,96,0,1,49748,2,8,2012,1,0,9,2955396.2
241,78,0,1,86182,7,6,2013,1,0,7,29643.3
32709,47,1,1,86465,1,3,2006,1,0,5,3284181.6
